Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,country_code,latitude,longitude
India,Kumbakonam,92,1,2,0,29,0,4,0,92,1,IN,20.593684,78.96288
Indonesia,Kupang,64,1,1,0,24,0,0,0,64,1,ID,-0.789275,113.921327
Serbia,Kursumlija,57,1,1,0,44,0,0,0,57,1,RS,44.016521,21.005859
Spain,La Puebla Del Rio,43,0,1,0,43,0,0,0,19,0,ES,40.463667,-3.74922
Brazil,Laguna,26,0,0,0,26,0,0,0,25,0,BR,-14.235004,-51.92528
United States of America,Lake Ridge,43,0,1,0,42,0,2,0,43,0,USA,37.0902,-95.7129
United States of America,Lakewood,98,1,3,0,19,0,22,0,98,1,USA,37.0902,-95.7129
France,Lamentin,49,0,0,0,28,0,0,0,49,0,FR,46.227638,2.213749
Belgium,Landen,56,1,1,0,39,0,1,0,56,1,BE,50.503887,4.469936
Italy,Laterza,60,1,1,0,60,1,0,0,50,0,IT,41.87194,12.56738
United States of America,Lemay,79,1,1,0,73,1,2,0,79,1,USA,37.0902,-95.7129
Germany,Lennestadt,53,1,1,0,46,0,0,0,53,1,DE,51.165691,10.451526
Haiti,Les Cayes,102,2,1,0,31,0,0,0,102,2,HT,18.971187,-72.285215
France,Les Herbiers,40,0,1,0,40,0,0,0,21,0,FR,46.227638,2.213749
United States of America,Lexington,47,0,1,0,47,0,1,0,20,0,USA,37.0902,-95.7129
Portugal,Lisbon,41,0,1,0,41,0,1,0,19,0,PT,39.399872,-8.224454
France,Lons Le Saunier,70,1,1,0,43,0,0,0,70,1,FR,46.227638,2.213749
India,Lormi,158,3,3,0,37,0,11,0,158,3,IN,20.593684,78.96288
Portugal,Loule,45,0,1,0,45,0,0,0,22,0,PT,39.399872,-8.224454
Russian Federation,Lysva,40,0,1,0,40,0,0,0,39,0,RF,61.524,105.3188
Netherlands,Maasbree,50,0,1,0,38,0,1,0,50,0,NL,52.132633,5.291266
China,Maba,99,1,4,0,20,0,14,0,99,1,CN,35.86166,104.195397
Italy,Sassari,47,0,1,0,47,0,0,0,30,0,IT,41.87194,12.56738
Germany,Schmalkalden,56,1,1,0,48,0,0,0,56,1,DE,51.165691,10.451526
Germany,Schwabmunchen,67,1,1,0,59,1,0,0,67,1,DE,51.165691,10.451526
Philippines,Seit,16,0,1,0,16,0,0,0,8,0,PH,12.879721,121.774017
Germany,Seligenstadt,60,1,1,0,59,1,0,0,60,1,DE,51.165691,10.451526
South Africa,Senekal,35,0,1,0,24,0,1,0,35,0,ZA,-30.559482,22.937506
Pakistan,Setharja,151,3,1,0,26,0,3,0,151,3,PK,30.375321,69.345116
China,Shalu,155,3,4,0,14,0,47,0,155,3,CN,35.86166,104.195397
China,Shashi,152,3,6,0,32,0,20,0,152,3,CN,35.86166,104.195397
Portugal,Beja,37,0,1,0,37,0,1,0,13,0,PT,39.399872,-8.224454
Italy,Bernalda,59,1,1,0,38,0,3,0,59,1,IT,41.87194,12.56738
Germany,Bestwig,43,0,1,0,37,0,1,0,43,0,DE,51.165691,10.451526
Bosnia and Herzegovina,Bijeljina,76,1,1,0,35,0,2,0,76,1,BA,43.915886,17.679076
Belgium,Bilzen,50,0,1,0,30,0,3,0,50,0,BE,50.503887,4.469936
Spain,Boadilla Del Monte,28,0,1,0,28,0,2,0,14,0,ES,40.463667,-3.74922
Panama,Changuinola,34,0,1,0,20,0,0,0,34,0,PA,8.537981,-80.782127
India,Chapar,51,1,2,0,41,0,0,0,51,1,IN,20.593684,78.96288
Thailand,Chiang Khong,26,0,0,0,24,0,0,0,26,0,TH,15.870032,100.992541
Poland,Chrzanow,84,1,1,0,38,0,3,0,84,1,PL,51.919438,19.145136
United States of America,Claremont,109,2,4,0,4,0,29,0,109,2,USA,37.0902,-95.7129
Mexico,Coatepec,111,2,3,0,7,0,7,0,111,2,MX,23.634501,-102.552784
United States of America,Crawfordsville,42,0,1,0,34,0,7,0,42,0,USA,37.0902,-95.7129
Brazil,Cristalina,31,0,1,0,11,0,1,0,31,0,BR,-14.235004,-51.92528
Mexico,Cuilapam,72,1,2,0,4,0,7,0,72,1,MX,23.634501,-102.552784
Kazakhstan,Balkhash,60,1,1,0,33,0,0,0,60,1,KZ,48.019573,66.923684
Syrian Arab Republic,Baniyas,57,1,1,0,45,0,1,0,57,1,SAE,34.8021,38.9968
India,Bardoli,151,3,0,0,25,0,0,0,151,3,IN,20.593684,78.96288
United States of America,Bardstown,61,1,1,0,46,0,4,0,61,1,USA,37.0902,-95.7129
Brazil,Barreiros,31,0,0,0,22,0,0,0,31,0,BR,-14.235004,-51.92528
Ecuador,Cariamanga,41,0,1,0,4,0,2,0,41,0,EC,-1.831239,-78.183406
United States of America,Cartersville,66,1,2,0,32,0,11,0,66,1,USA,37.0902,-95.7129
United States of America,Carthage,60,1,1,0,32,0,2,0,60,1,USA,37.0902,-95.7129
Brazil,Catende,25,0,0,0,17,0,1,0,25,0,BR,-14.235004,-51.92528
Brazil,Caxias,49,0,1,0,7,0,1,0,49,0,BR,-14.235004,-51.92528
South Africa,Bronkhorstspruit,156,3,5,0,15,0,15,0,156,3,ZA,-30.559482,22.937506
India,Budhlada,151,3,2,0,125,2,0,0,151,3,IN,20.593684,78.96288
United States of America,Bakersfield,61,1,2,0,22,0,12,0,61,1,USA,37.0902,-95.7129
Thailand,Bamnet Narong,24,0,0,0,24,0,0,0,21,0,TH,15.870032,100.992541
India,Banapur,152,3,3,0,87,1,1,0,152,3,IN,20.593684,78.96288
Thailand,Bang Lamung,37,0,0,0,17,0,1,0,37,0,TH,15.870032,100.992541
Slovakia,Bardejov,71,1,1,0,42,0,0,0,71,1,SK,48.669026,19.699024
Philippines,Bislig,31,0,1,0,18,0,0,0,31,0,PH,12.879721,121.774017
Indonesia,Blora,81,1,2,0,69,1,1,0,81,1,ID,-0.789275,113.921327
Sweden,Boden,32,0,1,0,32,0,0,0,6,0,SE,60.128161,18.643501
Poland,Boleslawiec,71,1,1,0,39,0,1,0,71,1,PL,51.919438,19.145136
Brazil,Boqueirao,39,0,0,0,13,0,1,0,39,0,BR,-14.235004,-51.92528
Mali,Bougouni,89,1,1,0,16,0,0,0,89,1,ML,17.570692,-3.996166
Germany,Bretzfeld,55,1,1,0,37,0,3,0,55,1,DE,51.165691,10.451526
Serbia,Becej,57,1,1,0,46,0,0,0,57,1,RS,44.016521,21.005859
Ukraine,Berezhany,63,1,1,0,29,0,2,0,63,1,UA,48.379433,31.16558
Germany,Bergneustadt,64,1,1,0,33,0,4,0,64,1,DE,51.165691,10.451526
Turkey,Besikduzu,32,0,1,0,32,0,0,0,14,0,TR,38.963745,35.243322
India,Aurad,152,3,1,0,41,0,0,0,152,3,IN,20.593684,78.96288
Germany,Bad Bramstedt,51,1,1,0,31,0,4,0,51,1,DE,51.165691,10.451526
Germany,Bad Soden Salmunster,67,1,1,0,38,0,4,0,67,1,DE,51.165691,10.451526
Togo,Badou,59,1,1,0,18,0,0,0,59,1,TG,8.619543,0.824782
Italy,Arluno,68,1,1,0,37,0,3,0,68,1,IT,41.87194,12.56738
